station_id,name,lat,lon,capacity
2187,318 - Gioia - Carissimi,45.49078671409918,9.202329272084171,36
2186,302 - De Angeli - Ripamonti,45.443269551542,9.198437386803562,30
2185,190 - Milizie - Tortona,45.450379781127,9.155913645081455,30
2184,226 - Lotto,45.4799184197211,9.143382418260444,30
2183,204 - Valtellina - Farini,45.48899030076599,9.182256960921222,36
2180,304 - Adamello - Lorenzini,45.443514101109,9.203085708722938,30
2179,219 - Firenze,45.48736974980699,9.15589496391729,30
2178,221 - Accursio - Portello,45.4909258555569,9.145400726847583,36
2177,270 - Stelvio - Farini,45.49472860992402,9.185019636206562,30
2176,261 - Imbonati - Dergano M3,45.50536367702498,9.179833584912558,36
2175,282 - Dergano,45.503318065489026,9.176682212502243,24
2174,262 - Livigno - Monte San Genesio,45.5001103140391,9.17841469634368,30
2173,260 - Baldinucci - Maffucci,45.5034828997716,9.168966615170575,24
2172,257 - Valtellina - Aprica,45.493106947527,9.182389730185605,24
2171,256 - Lancetti Passante - Maloja,45.4948893634155,9.17637085317665,30
2170,224 - VI Febbraio,45.4768369753779,9.160565936617786,30
2168,268 - Lunigiana - Sammartini,45.490732394772884,9.207177291518974,24
2167,267 - Sardegna - Sicilia,45.463979056729244,9.152914571296321,30
2166,266 - Sauli - Battaglia,45.491094787230686,9.213269396984515,24
2165,265 - Arduino,45.4771033100193,9.151248560188264,36
2164,264 - Rio De Janeiro - Sarto,45.472641881667,9.223651438951492,24
2163,263 - Castello,45.46953851408742,9.181974124364416,36
2161,248 - Teodorico - Gattamelata,45.4844913771267,9.151471906952793,24
2160,227 - Zavattari - Tempesta,45.4760557498563,9.143733733944828,27
2159,253 - Bovisa Passante 1 - Alfieri,45.50275468075098,9.16057398324483,30
2158,307 - Piazzi - Bernina,45.49452578706,9.18092390304082,30
2157,254 - Bausan - Brofferio,45.50250559435529,9.165000969223911,27
2156,255 - Nigra - Castellini,45.496247054485615,9.170451217942173,27
2155,258 - Maciachini - Marche,45.4979833097212,9.186860972695285,30
2154,236 - Mac Mahon - Caracciolo,45.4911667668979,9.161051416449482,30
2153,183 - Domodossola FNM - Filelfo,45.480376686625604,9.163030886702472,36
